VehicleID,Type,SpeedBG,SpeedGR,AvgSpeed,Acceleration
609,Car,0.0,0.0,0.0,0.0
615,Bicycle,0.0,0.0,0.0,0.0
616,Car,0.0,0.0,0.0,0.0
619,Bicycle,0.0,0.0,0.0,0.0
618,Car,0.0,0.0,0.0,0.0
622,Car,0.0,0.0,0.0,0.0
610,Car,17.17,19.7,18.44,1.45
628,Car,0.0,0.0,0.0,0.0
632,Motorcycle,0.0,0.0,0.0,0.0
635,Car,0.0,0.0,0.0,0.0
643,Car,0.0,0.0,0.0,0.0
645,Car,0.0,0.0,0.0,0.0
637,Car,15.75,18.27,17.01,1.28
651,Car,0.0,0.0,0.0,0.0
656,Car,0.0,0.0,0.0,0.0
655,Motorcycle,0.0,0.0,0.0,0.0
664,Car,17.41,17.69,17.55,0.15
673,Motorcycle,0.0,0.0,0.0,0.0
672,Car,0.0,0.0,0.0,0.0
690,Car,8.39,5.64,7.02,-0.58
705,Car,0.0,0.0,0.0,0.0
706,Car,0.0,0.0,0.0,0.0
703,Car,0.0,0.17,0.08,0.3
707,Car,0.0,0.0,0.0,0.0
700,Motorcycle,10.23,10.65,10.44,0.14
735,Car,0.0,0.0,0.0,0.0
739,Truck,0.0,0.0,0.0,0.0
740,Truck,0.0,0.0,0.0,0.0
741,Car,0.0,0.0,0.0,0.0
742,Truck,0.0,0.0,0.0,0.0
754,Car,0.0,0.0,0.0,0.0
745,Car,15.68,11.78,13.73,-1.73
766,Car,0.0,0.0,0.0,0.0
768,Car,0.0,0.0,0.0,0.0
769,Car,0.0,0.0,0.0,0.0
772,Car,0.0,0.22,0.11,0.7
786,Car,0.0,0.0,0.0,0.0
791,Car,0.0,0.0,0.0,0.0
818,Car,0.0,0.0,0.0,0.0
885,Car,0.0,0.0,0.0,0.0
897,Car,0.0,0.35,0.17,2.51
899,Car,0.0,0.0,0.0,0.0
905,Car,0.0,0.0,0.0,0.0
789,Motorcycle,2.63,0.18,1.41,-0.02
936,Car,0.0,0.02,0.01,0.01
943,Car,0.0,0.0,0.0,0.0
922,Car,4.39,6.06,5.23,0.27
960,Car,13.3,23.22,18.26,6.36
969,Car,0.0,0.0,0.0,0.0
949,Motorcycle,5.8,9.36,7.58,0.81
975,Car,0.0,0.0,0.0,0.0
976,Motorcycle,7.93,12.53,10.23,1.41
1001,Car,0.0,0.0,0.0,0.0
1023,Motorcycle,0.0,0.0,0.0,0.0
1032,Car,0.0,0.0,0.0,0.0
1033,Car,0.0,0.0,0.0,0.0
1034,Car,0.0,0.0,0.0,0.0
1027,Truck,9.05,14.07,11.56,1.71
1047,Motorcycle,10.64,15.8,13.22,2.01
1088,Car,0.0,7.34,3.67,3.14
1096,Truck,0.0,0.0,0.0,0.0
1100,Motorcycle,0.0,0.48,0.24,3.38
1105,Car,12.83,15.1,13.97,0.97
1122,Car,13.5,14.89,14.2,0.59
1126,Car,0.0,0.0,0.0,0.0
1131,Car,0.0,0.0,0.0,0.0
1130,Motorcycle,9.16,10.5,9.83,0.39
1146,Car,0.0,0.05,0.02,0.05
1153,Car,10.66,11.53,11.09,0.29
1166,Motorcycle,10.33,10.51,10.42,0.06
1178,Car,0.0,0.03,0.02,0.02
1197,Motorcycle,0.0,0.0,0.0,0.0
1206,Car,0.0,0.0,0.0,0.0
1202,Motorcycle,14.67,15.39,15.03,0.34
1213,Car,8.95,13.35,11.15,1.43
1230,Car,0.0,0.0,0.0,0.0
1237,Motorcycle,0.0,0.02,0.01,0.01
1241,Car,0.0,0.0,0.0,0.0
1243,Car,0.0,0.16,0.08,0.28
1244,Car,0.0,0.0,0.0,0.0
1246,Car,0.0,0.0,0.0,0.0
1245,Motorcycle,0.0,0.22,0.11,0.27
1254,Car,0.0,0.0,0.0,0.0
1272,Car,0.0,0.12,0.06,0.3
1275,Car,0.0,0.07,0.03,0.07
1283,Car,0.0,0.0,0.0,0.0
1289,Motorcycle,0.0,0.0,0.0,0.0
1299,Car,0.0,0.22,0.11,0.45
1303,Car,0.0,0.0,0.0,0.0
1235,Motorcycle,0.34,0.4,0.37,0.0
1331,Car,0.0,0.0,0.0,0.0
1343,Car,0.0,0.0,0.0,0.0
1341,Bus,3.59,4.96,4.28,0.25
1360,Car,0.0,0.0,0.0,0.0
1359,Motorcycle,10.04,12.81,11.42,0.99
1389,Car,0.0,0.0,0.0,0.0
1393,Car,0.0,0.0,0.0,0.0
1388,Truck,10.67,14.08,12.37,1.28
1411,Car,0.0,0.0,0.0,0.0
1414,Car,13.98,17.06,15.52,1.46
1432,Car,0.0,0.0,0.0,0.0
1442,Car,0.0,0.0,0.0,0.0
1434,Motorcycle,11.09,16.91,14.0,2.46
1446,Motorcycle,0.0,0.0,0.0,0.0
1448,Motorcycle,0.0,0.0,0.0,0.0
1457,Truck,0.0,0.0,0.0,0.0
1461,Car,0.0,0.0,0.0,0.0
1468,Bicycle,29.25,25.35,27.3,-4.8
1481,Car,0.0,0.0,0.0,0.0
1478,Car,19.97,17.48,18.73,-1.46
1488,Truck,0.0,0.0,0.0,0.0
1490,Motorcycle,0.0,0.0,0.0,0.0
1501,Car,0.0,0.0,0.0,0.0
1512,Motorcycle,18.03,21.91,19.97,2.39
1527,Car,0.0,0.0,0.0,0.0
1531,Truck,0.0,14.66,7.33,39.97
1542,Motorcycle,0.0,0.14,0.07,0.11
1545,Motorcycle,0.0,0.0,0.0,0.0
1548,Motorcycle,0.0,0.0,0.0,0.0
1547,Motorcycle,0.0,0.0,0.0,0.0
1551,Motorcycle,0.0,0.0,0.0,0.0
1550,Motorcycle,0.0,0.0,0.0,0.0
1584,Car,0.0,0.0,0.0,0.0
1583,Car,0.0,0.0,0.0,0.0
1589,Car,0.0,0.04,0.02,0.01
1593,Motorcycle,37.98,36.05,37.02,-2.75
1602,Car,0.0,0.35,0.18,2.61
1611,Car,0.0,0.0,0.0,0.0
1615,Car,0.0,0.16,0.08,0.15
1631,Car,0.0,0.0,0.0,0.0
1624,Motorcycle,12.37,13.33,12.85,0.38
1634,Car,0.0,0.0,0.0,0.0
1635,Car,0.0,0.0,0.0,0.0
1646,Car,0.0,0.0,0.0,0.0
1648,Motorcycle,0.0,0.0,0.0,0.0
1644,Car,0.0,0.07,0.04,0.04
1655,Truck,0.0,0.0,0.0,0.0
1656,Motorcycle,0.0,0.0,0.0,0.0
1658,Motorcycle,0.0,0.0,0.0,0.0
1662,Motorcycle,0.0,0.0,0.0,0.0
1684,Truck,0.0,0.0,0.0,0.0
1687,Truck,0.0,0.0,0.0,0.0
1689,Motorcycle,0.0,0.0,0.0,0.0
1709,Motorcycle,0.0,0.0,0.0,0.0
1714,Car,0.0,0.0,0.0,0.0
1716,Car,0.0,0.0,0.0,0.0
1718,Car,0.0,0.0,0.0,0.0
1722,Car,0.0,0.0,0.0,0.0
1741,Car,0.0,0.09,0.04,0.11
1756,Car,0.0,0.0,0.0,0.0
1758,Car,0.0,0.0,0.0,0.0
1767,Car,0.0,0.0,0.0,0.0
1773,Car,0.0,0.0,0.0,0.0
1782,Motorcycle,0.0,0.0,0.0,0.0
1786,Car,0.0,0.29,0.14,1.7
1690,Car,0.24,8.05,4.14,0.12
1796,Motorcycle,0.0,0.0,0.0,0.0
1801,Car,0.0,0.0,0.0,0.0
1814,Car,0.0,0.0,0.0,0.0
1817,Car,0.0,0.0,0.0,0.0
1811,Car,6.7,11.46,9.08,1.24
1840,Car,0.0,0.0,0.0,0.0
1841,Car,0.0,0.0,0.0,0.0
1847,Car,0.0,0.0,0.0,0.0
1845,Car,0.0,0.0,0.0,0.0
1848,Car,0.0,0.0,0.0,0.0
1856,Car,0.0,0.0,0.0,0.0
1860,Car,0.0,0.0,0.0,0.0
1851,Car,10.29,13.67,11.98,1.27
1887,Motorcycle,0.0,0.0,0.0,0.0
1888,Motorcycle,0.0,0.0,0.0,0.0
1902,Motorcycle,0.0,0.0,0.0,0.0
1903,Motorcycle,0.0,0.0,0.0,0.0
1906,Motorcycle,0.0,0.0,0.0,0.0
1911,Car,0.0,0.0,0.0,0.0
1910,Motorcycle,17.9,19.96,18.93,1.27
1917,Truck,0.0,0.0,0.0,0.0
1919,Truck,0.0,0.0,0.0,0.0
1926,Car,0.0,0.0,0.0,0.0
1931,Motorcycle,0.0,0.0,0.0,0.0
1932,Motorcycle,0.0,0.0,0.0,0.0
1975,Car,0.0,0.0,0.0,0.0
1971,Car,0.0,0.0,0.0,0.0
1969,Car,0.0,0.0,0.0,0.0
1976,Motorcycle,18.55,21.28,19.91,1.62
1988,Motorcycle,0.0,0.0,0.0,0.0
1989,Motorcycle,0.0,0.0,0.0,0.0
1990,Car,35.36,32.93,34.14,-3.53
2012,Car,0.0,0.0,0.0,0.0
2021,Motorcycle,0.0,12.38,6.19,38.96
2027,Car,0.0,0.0,0.0,0.0
2031,Car,0.0,0.0,0.0,0.0
2049,Car,0.0,0.0,0.0,0.0
2054,Car,0.0,0.0,0.0,0.0
2057,Motorcycle,0.0,0.0,0.0,0.0
2065,Car,0.0,0.0,0.0,0.0
2069,Car,0.0,0.0,0.0,0.0
2071,Car,0.0,0.0,0.0,0.0
2130,Car,0.0,0.31,0.16,2.02
2149,Car,0.0,0.0,0.0,0.0
2168,Car,0.0,0.0,0.0,0.0
2177,Car,0.0,0.0,0.0,0.0
2193,Car,0.0,0.0,0.0,0.0
2201,Car,0.0,0.0,0.0,0.0
2202,Car,0.0,0.0,0.0,0.0
2205,Car,0.0,0.0,0.0,0.0
2214,Car,0.0,0.0,0.0,0.0
2219,Car,0.0,0.0,0.0,0.0
2232,Car,0.0,0.0,0.0,0.0
2238,Car,0.0,0.02,0.01,0.01
2253,Car,0.0,0.0,0.0,0.0
2289,Car,0.0,0.0,0.0,0.0
2288,Car,0.96,4.92,2.94,0.33
2311,Car,0.0,0.0,0.0,0.0
2304,Motorcycle,5.4,8.67,7.04,0.68
2343,Car,0.0,0.0,0.0,0.0
2334,Car,9.29,12.45,10.87,1.06
2363,Car,0.0,0.0,0.0,0.0
2394,Car,0.0,0.0,0.0,0.0
2415,Car,11.98,13.53,12.75,0.61
2426,Car,0.0,0.0,0.0,0.0
2429,Car,0.0,0.0,0.0,0.0
2453,Motorcycle,0.0,0.0,0.0,0.0
2460,Car,0.0,0.0,0.0,0.0
2464,Car,14.11,15.2,14.66,0.49
2477,Car,0.0,0.0,0.0,0.0
2491,Car,13.61,11.73,12.67,-0.71
2507,Motorcycle,27.92,25.36,26.64,-2.4
2518,Car,0.0,0.0,0.0,0.0
2524,Motorcycle,0.0,0.0,0.0,0.0
2526,Car,0.0,0.01,0.0,0.0
2533,Car,0.0,0.0,0.0,0.0
2539,Car,0.0,0.0,0.0,0.0
2541,Motorcycle,25.01,28.69,26.85,2.84
2562,Car,0.0,0.0,0.0,0.0
2580,Car,0.0,0.0,0.0,0.0
2582,Car,0.0,0.11,0.05,0.11
2587,Car,0.0,0.0,0.0,0.0
2600,Car,0.0,0.32,0.16,2.2
2599,Car,0.0,0.0,0.0,0.0
2603,Car,0.0,0.0,0.0,0.0
2608,Car,0.0,0.0,0.0,0.0
2623,Car,0.0,0.0,0.0,0.0
2632,Car,0.0,0.0,0.0,0.0
2642,Car,0.0,0.0,0.0,0.0
2648,Car,0.0,0.0,0.0,0.0
2647,Motorcycle,0.0,0.0,0.0,0.0
2674,Car,0.0,0.0,0.0,0.0
2670,Car,0.0,0.0,0.0,0.0
2667,Car,0.0,0.0,0.0,0.0
2681,Car,0.0,0.0,0.0,0.0
2677,Car,0.0,0.0,0.0,0.0
2676,Car,0.0,0.0,0.0,0.0
2695,Car,0.0,0.0,0.0,0.0
2696,Car,0.0,0.0,0.0,0.0
2699,Car,0.0,0.0,0.0,0.0
2694,Car,0.0,0.06,0.03,0.02
2708,Car,0.0,0.0,0.0,0.0
2675,Car,0.59,8.16,4.38,0.28
2727,Car,0.0,0.0,0.0,0.0
2732,Car,0.0,0.0,0.0,0.0
2723,Motorcycle,5.69,8.87,7.28,0.69
2741,Car,0.0,0.0,0.0,0.0
2743,Car,0.0,0.0,0.0,0.0
2750,Motorcycle,0.0,0.0,0.0,0.0
2754,Car,0.0,0.0,0.0,0.0
2739,Car,6.23,9.38,7.8,0.72
2765,Car,0.0,0.0,0.0,0.0
2768,Car,0.0,0.19,0.09,0.52
2777,Motorcycle,0.0,0.0,0.0,0.0
2761,Car,7.18,10.96,9.07,1.0
2787,Car,0.0,0.0,0.0,0.0
2789,Car,0.0,0.0,0.0,0.0
2788,Motorcycle,0.0,0.0,0.0,0.0
2796,Car,0.0,0.0,0.0,0.0
2806,Car,0.0,0.0,0.0,0.0
2795,Motorcycle,10.54,13.82,12.18,1.2
2823,Car,0.0,0.0,0.0,0.0
2824,Car,0.0,0.0,0.0,0.0
2831,Car,0.0,0.07,0.03,0.1
2837,Car,0.0,0.0,0.0,0.0
2835,Car,16.56,16.74,16.65,0.09
2848,Car,0.0,0.13,0.07,0.36
2854,Car,0.0,0.0,0.0,0.0
2855,Car,0.0,0.0,0.0,0.0
2876,Car,25.94,29.19,27.56,2.63
2875,Car,0.0,0.02,0.01,0.01
2895,Car,0.0,0.0,0.0,0.0
2891,Car,0.0,0.0,0.0,0.0
2900,Car,0.0,0.04,0.02,0.02
2952,Car,0.0,0.0,0.0,0.0
2949,Motorcycle,0.0,0.0,0.0,0.0
2964,Car,26.41,27.15,26.78,0.69
2970,Car,0.0,0.0,0.0,0.0
2972,Car,0.0,0.0,0.0,0.0
2975,Car,14.02,17.38,15.7,1.59
2984,Car,0.0,0.0,0.0,0.0
2986,Car,0.0,0.0,0.0,0.0
2997,Car,0.0,0.0,0.0,0.0
